"","","","","","","No","No","No","","Yes","Yes","Yes","",""
"Yes","rad_yn","","6061","0.405635122473564","","","4221","0.392249790911625","","","1840","0.440086103802918","","9.96292399054868e-08"
"Other","rad_yn","","0","0","","","0","0","","","0","0","","9.96292399054868e-08"
"No","horm_yn","","6495","0.434680765627091","","","5449","0.506365579407118","","","1046","0.250179382922746","","3.43035211354048e-231"
"Yes","horm_yn","","7949","0.531990362735912","","","4843","0.45005111049159","","","3106","0.742884477397752","","3.43035211354048e-231"
"Other","horm_yn","","498","0.0333288716369964","","","469","0.0435833101012917","","","29","0.00693613967950251","","3.43035211354048e-231"
"","cops2","14942 (0%)","14.0488555748896","15.2718627835862","","10761 (0%)","14.6288449028901","15.9742113457065","","4181 (0%)","12.5560870605118","13.1794941635758","","5.53238225094124e-16"
"","bmi","13507 (10%)","28.4829169942452","6.53619404894851","","9667 (10%)","28.4329297101414","6.48309920248325","","3840 (8%)","28.6087573784722","6.66718131687782","","0.163554168696208"
"Underweight","bmicat","","183","0.0122473564449204","","","148","0.0137533686460366","","","35","0.00837120306146855","","0.000147564972722639"
"Normal","bmicat","","4281","0.286507830277071","","","3054","0.283802620574296","","","1227","0.293470461612055","","0.000147564972722639"
"Overweight","bmicat","","4298","0.287645562842993","","","3080","0.286218752904005","","","1218","0.291317866539105","","0.000147564972722639"
"Obese I","bmicat","","2646","0.177084727613439","","","1913","0.177771582566676","","","733","0.175316909830184","","0.000147564972722639"
"Obese II+","bmicat","","2099","0.140476509168786","","","1472","0.136790261128148","","","627","0.149964123415451","","0.000147564972722639"
"Unknown","bmicat","","1435","0.0960380136527908","","","1094","0.101663414180838","","","341","0.0815594355417364","","0.000147564972722639"
"Never smoker","smok1","","7013","0.469536689876808","","","5069","0.471271848270733","","","1944","0.465071770334928","","3.53706686617235e-05"
"Current smoker","smok1","","980","0.0656132833422603","","","759","0.0705652658981034","","","221","0.0528708133971292","","3.53706686617235e-05"
"Quited/past/former","smok1","","2706","0.181173004820568","","","1880","0.174786165860915","","","826","0.197607655502392","","3.53706686617235e-05"
"Unknown","smok1","","4237","0.283677021960364","","","3048","0.283376719970249","","","1189","0.28444976076555","","3.53706686617235e-05"
"0","menop","","3717","0.248761879266497","","","2518","0.233993123315677","","","1199","0.28677349916288","","2.41239015187043e-11"
"1","menop","","11225","0.751238120733503","","","8243","0.766006876684323","","","2982","0.71322650083712","","2.41239015187043e-11"
"0","gravid","","1575","0.130770508136832","","","1093","0.129150419473","","","482","0.134599273945825","","0.546039821117852"
"1","gravid","","1554","0.129026901361674","","","1079","0.127496159754224","","","475","0.132644512705948","","0.546039821117852"
"2","gravid","","3218","0.267186981069412","","","2254","0.266335814722912","","","964","0.26919854789165","","0.546039821117852"
"3+","gravid","","5697","0.473015609432082","","","4037","0.477017606049864","","","1660","0.463557665456576","","0.546039821117852"
"0","parity","","2044","0.166625906904704","","","1268","0.156756088515268","","","776","0.185734801340354","","0.000713398311317574"
"1","parity","","2061","0.168011738811445","","","1386","0.171343800222524","","","675","0.161560555289612","","0.000713398311317574"
"2","parity","","4284","0.349229640498899","","","2853","0.352701199159352","","","1431","0.342508377213978","","0.000713398311317574"
"3+","parity","","3878","0.316132713784952","","","2582","0.319198912102856","","","1296","0.310196266156056","","0.000713398311317574"
"Yes","inpatient_flg","","204","0.0136527907910588","","","162","0.0150543629774185","","","42","0.0100454436737623","","0.00459368924712069"
"No","inpatient_flg","","2972","0.198902422701111","","","2187","0.203233900195149","","","785","0.187754125807223","","0.00459368924712069"
"Unknown","inpatient_flg","","11766","0.78744478650783","","","8412","0.781711736827432","","","3354","0.802200430519015","","0.00459368924712069"
"Yes","outpatient_flg","","3012","0.201579440503279","","","2216","0.20592881702444","","","796","0.190385075340828","","0.00257663813380048"
"No","outpatient_flg","","164","0.0109757729888904","","","133","0.0123594461481275","","","31","0.00741449414015786","","0.00257663813380048"
"Unknown","outpatient_flg","","11766","0.78744478650783","","","8412","0.781711736827432","","","3354","0.802200430519015","","0.00257663813380048"
"Yes","pharmacy_flg","","2574","0.172266095569536","","","1892","0.175820091069603","","","682","0.163118871083473","","0.0113481281639251"
"No","pharmacy_flg","","602","0.0402891179226342","","","457","0.0424681721029644","","","145","0.0346806983975126","","0.0113481281639251"
"Unknown","pharmacy_flg","","11766","0.78744478650783","","","8412","0.781711736827432","","","3354","0.802200430519015","","0.0113481281639251"
"Yes","a1c_flg","","2722","0.182171061437559","","","2007","0.18650683022024","","","715","0.171011719684286","","0.0179086222314732"
"No","a1c_flg","","454","0.0303841520546112","","","342","0.0317814329523279","","","112","0.0267878497966994","","0.0179086222314732"
"Unknown","a1c_flg","","11766","0.78744478650783","","","8412","0.781711736827432","","","3354","0.802200430519015","","0.0179086222314732"
"Yes","fgrg_flg","","2223","0.148775264355508","","","1629","0.15137998327293","","","594","0.142071274814638","","0.0097550696944921"
"No","fgrg_flg","","953","0.0637799491366618","","","720","0.0669082798996376","","","233","0.0557282946663478","","0.0097550696944921"
"Unknown","fgrg_flg","","11766","0.78744478650783","","","8412","0.781711736827432","","","3354","0.802200430519015","","0.0097550696944921"
"Yes","a1cfgrg_flg","","2668","0.178557087404631","","","1964","0.182510919059567","","","704","0.168380770150682","","0.0138909968299633"
"No","a1cfgrg_flg","","508","0.0339981260875385","","","385","0.0357773441130007","","","123","0.0294187993303038","","0.0138909968299633"
"Unknown","a1cfgrg_flg","","11766","0.78744478650783","","","8412","0.781711736827432","","","3354","0.802200430519015","","0.0138909968299633"
"Yes","dyslipidemia.x","","8249","0.552067996252175","","","5990","0.556639717498374","","","2259","0.540301363310213","","0.0743324636655416"
"No/Unknown","dyslipidemia.x","","6693","0.447932003747825","","","4771","0.443360282501626","","","1922","0.459698636689787","","0.0743324636655416"
"","systolic","12357 (17%)","128.205748919815","16.7392053580078","","8949 (17%)","128.666571952942","17.0736182983039","","3408 (18%)","126.995682803776","15.7658924244711","","2.76662631471551e-07"
"","diastolic","12357 (17%)","73.4555569466149","10.2728433247215","","8950 (17%)","73.5128003944497","10.2745978856853","","3407 (19%)","73.3051815846774","10.2682199460254","","0.315301639448722"
"","glu_f","7195 (52%)","105.848992355803","30.2712661187442","","5149 (52%)","106.459798019033","31.2153574204579","","2046 (51%)","104.311827956989","27.7013372415466","","0.0042653555168985"
"","hdl","8552 (43%)","56.8772022139071","15.0713446557279","","6139 (43%)","56.7898409078569","15.1512784745671","","2413 (42%)","57.0994612515541","14.8668444384496","","0.388686587060024"
"","hgba1c","3349 (78%)","6.55458345774858","1.27183464505958","","2471 (77%)","6.58980169971671","1.30801453563728","","878 (79%)","6.45546697038724","1.15896375615263","","0.00442850337722865"
"","ldl_clc_ns","7951 (47%)","111.259862491091","33.8274235478561","","5711 (47%)","110.780190276075","34.2950374413912","","2240 (46%)","112.4828125","32.5804298229829","","0.0389825968210675"
"","tot_choles","8650 (42%)","195.710308285164","39.6256193255821","","6217 (42%)","195.309179132486","40.3265103210964","","2433 (42%)","196.73530620633","37.7643344669144","","0.121470859018651"
"","trigl_ns","8038 (46%)","138.98065439164","87.9682778613206","","5771 (46%)","140.128747184197","90.7015449135938","","2267 (46%)","136.058006175562","80.5383177052657","","0.049345253475808"
"","hhincome1","14942 (0%)","0.334446853213691","0.180124163407238","","10761 (0%)","0.339658980699531","0.18261652379628","","4181 (0%)","0.321031951545401","0.172844688254206","","6.12392957746449e-09"
"","hhincome2","14942 (0%)","0.305871177774737","0.110938404455825","","10761 (0%)","0.307609931803129","0.11038235187279","","4181 (0%)","0.301395996693768","0.112246383599289","","0.00228211152270062"
"","hhincome3","14942 (0%)","0.358477311000596","0.19865857969574","","10761 (0%)","0.351244236832904","0.198270739406968","","4181 (0%)","0.377093697300176","0.19846816874299","","9.5549281269192e-13"
"","medhousincome","14923 (0%)","80412.8911076861","34069.6086751243","","10744 (0%)","79251.1432427401","33714.6736227735","","4179 (0%)","83399.6867671692","34792.0366902371","","4.48452933828476e-11"
"","houspoverty","14924 (0%)","0.0824346925587342","0.082510481817791","","10745 (0%)","0.0843044758379197","0.0841260417516871","","4179 (0%)","0.0776271258358705","0.0780077251163383","","4.46295785193169e-06"
"","edu1","14942 (0%)","0.320389211518055","0.17635989139014","","10761 (0%)","0.328902373914265","0.177571331026712","","4181 (0%)","0.298478151832425","0.171288503676947","","6.73492769498193e-22"
"","edu2","14942 (0%)","0.307129138853057","0.103446701872246","","10761 (0%)","0.308989717243385","0.103133992848732","","4181 (0%)","0.302340407913494","0.104106776239775","","0.000444120761526081"
"","edu3","14924 (0%)","0.232764329140818","0.114149755144173","","10745 (0%)","0.228156149939661","0.114343586930617","","4179 (0%)","0.244612830101918","0.112802300229712","","1.7892263696819e-15"
"","edu4","14942 (0%)","0.138793063890863","0.115840907331849","","10761 (0%)","0.132804142361386","0.112863655940934","","4181 (0%)","0.15420726732992","0.121840513409354","","1.0913440152597e-22"
