"","","","","","","Case","Case","Case","","Control","Control","Control","",""
"Unknown","a1c_flg","","71985","0.803009682745081","","","11766","0.78744478650783","","","60219","0.806122995368263","","3.58167331945704e-07"
"Yes","fgrg_flg","","11961","0.133427781000402","","","2223","0.148775264355508","","","9738","0.130357955610292","","8.88952759410645e-09"
"No","fgrg_flg","","5698","0.0635625362545179","","","953","0.0637799491366618","","","4745","0.0635190490214452","","8.88952759410645e-09"
"Unknown","fgrg_flg","","71985","0.803009682745081","","","11766","0.78744478650783","","","60219","0.806122995368263","","8.88952759410645e-09"
"Yes","a1cfgrg_flg","","14735","0.164372406407568","","","2668","0.178557087404631","","","12067","0.161535166394474","","6.78920351076737e-07"
"No","a1cfgrg_flg","","2924","0.0326179108473517","","","508","0.0339981260875385","","","2416","0.0323418382372627","","6.78920351076737e-07"
"Unknown","a1cfgrg_flg","","71985","0.803009682745081","","","11766","0.78744478650783","","","60219","0.806122995368263","","6.78920351076737e-07"
"Yes","dyslipidemia.x","","49351","0.550522065057338","","","8249","0.552067996252175","","","41102","0.550212845706942","","0.683905256245281"
"No/Unknown","dyslipidemia.x","","40293","0.449477934942662","","","6693","0.447932003747825","","","33600","0.449787154293058","","0.683905256245281"
"","systolic","67734 (24%)","126.281370754335","15.9562664187319","","12357 (17%)","128.205748919815","16.7392053580078","","55377 (26%)","125.851958886757","15.7443477962473","","4.94268282536765e-46"
"","diastolic","67732 (24%)","72.8420323390529","9.94687608517771","","12357 (17%)","73.4555569466149","10.2728433247215","","55375 (26%)","72.7051235611632","9.86755785586961","","1.47954446531514e-13"
"","glu_f","40457 (55%)","105.083022303516","29.8101154174415","","7195 (52%)","105.848992355803","30.2712661187442","","33262 (55%)","104.917333092819","29.7072834792162","","0.017570628425366"
"","hdl","48118 (46%)","57.1311013203652","15.1356675423645","","8552 (43%)","56.8772022139071","15.0713446557279","","39566 (47%)","57.1859803872011","15.1491652676538","","0.0861004901406813"
"","hgba1c","18801 (79%)","6.57354706309948","1.30575177909204","","3349 (78%)","6.55458345774858","1.27183464505958","","15452 (79%)","6.57765715333506","1.312991530795","","0.344054517461199"
"","ldl_clc_ns","44778 (50%)","110.808458766954","33.8176868118807","","7951 (47%)","111.259862491091","33.8274235478561","","36827 (51%)","110.711000081462","33.8152527086751","","0.189494881582369"
"","tot_choles","48642 (46%)","195.224649822513","39.5216901364713","","8650 (42%)","195.710308285164","39.6256193255821","","39992 (46%)","195.119605171034","39.4988859554897","","0.208469250089889"
"","trigl_ns","45296 (49%)","137.920029730366","88.1154115876181","","8038 (46%)","138.98065439164","87.9682778613206","","37258 (50%)","137.691211730814","88.1466272092503","","0.233503551048792"
"","hhincome1","89644 (0%)","0.337792191701644","0.181886627975281","","14942 (0%)","0.334446853213691","0.180124163407238","","74702 (0%)","0.338461331051153","0.182230938908659","","0.0130691147731376"
"","hhincome2","89644 (0%)","0.30731906888654","0.11212763972489","","14942 (0%)","0.305871177774737","0.110938404455825","","74702 (0%)","0.307608678120463","0.112362498795254","","0.0811921543887546"
"","hhincome3","89644 (0%)","0.353092746372684","0.19833764899077","","14942 (0%)","0.358477311000596","0.19865857969574","","74702 (0%)","0.352015718118149","0.198257174344966","","0.00028333437464433"
"","medhousincome","89480 (0%)","79679.7343093429","34042.1210810079","","14923 (0%)","80412.8911076861","34069.6086751243","","74557 (0%)","79532.9888809904","34034.9483792013","","0.00397588389715878"
"","houspoverty","89483 (0%)","0.0840268156780196","0.0836783266837579","","14924 (0%)","0.0824346925587342","0.082510481817791","","74559 (0%)","0.0843455008190786","0.083907052989298","","0.010027125829948"
"","edu1","89644 (0%)","0.327389657784391","0.178590115503791","","14942 (0%)","0.320389211518055","0.17635989139014","","74702 (0%)","0.328789896976268","0.17900118793184","","1.15703803074704e-07"
"","edu2","89644 (0%)","0.307159572984248","0.10318823142777","","14942 (0%)","0.307129138853057","0.103446701872246","","74702 (0%)","0.307165660462337","0.103137146777224","","0.968560035370258"
"","edu3","89485 (0%)","0.229336496728346","0.114014850832321","","14924 (0%)","0.232764329140818","0.114149755144173","","74561 (0%)","0.228650387758191","0.113976213700208","","5.84201984731781e-05"
"","edu4","89644 (0%)","0.13474736008255","0.114539592810703","","14942 (0%)","0.138793063890863","0.115840907331849","","74702 (0%)","0.13393813266824","0.114261115174518","","2.78690051124768e-06"
